root@iranexpedia:~# dotnet-dump analyze /root/core_20251123_141914
Loading core dump: /root/core_20251123_141914 ...
Ready to process analysis commands. Type 'help' to list available commands or 'help [command]' to get detailed help on a command.
Type 'quit' or 'exit' to exit the session.
> dumpheap -stat                                                                                                                                                                                     
Statistics:
          MT   Count   TotalSize Class Name
7a5ac0d566e8       1          24 System.Collections.Generic.GenericEqualityComparer<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey>
7a5ac0d564b0       1          24 Microsoft.Extensions.Logging.Logger<Microsoft.Extensions.Hosting.Internal.Host>
7a5ac0d58740       1          24 Microsoft.Extensions.Options.IConfigureOptions<Microsoft.Extensions.Hosting.ConsoleLifetimeOptions>[]
7a5ac0d58800       1          24 Microsoft.Extensions.Options.IPostConfigureOptions<Microsoft.Extensions.Hosting.ConsoleLifetimeOptions>[]
7a5ac0d588c0       1          24 Microsoft.Extensions.Options.IValidateOptions<Microsoft.Extensions.Hosting.ConsoleLifetimeOptions>[]
7a5ac0d58ab0       1          24 Microsoft.Extensions.Options.IPostConfigureOptions<Microsoft.Extensions.Hosting.HostOptions>[]
7a5ac0d58b70       1          24 Microsoft.Extensions.Options.IValidateOptions<Microsoft.Extensions.Hosting.HostOptions>[]
7a5ac0d573b0       1          24 Microsoft.Extensions.Hosting.ConsoleLifetimeOptions
7a5abeb85568       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.KestrelServerOptionsSetup
7a5ac0d5c708       1          24 Microsoft.Extensions.Options.IPostConfigureOptions<Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServerOptions>[]
7a5ac0d5c7c8       1          24 Microsoft.Extensions.Options.IValidateOptions<Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServerOptions>[]
7a5ac0d5c948       1          24 Microsoft.Extensions.Options.IConfigureOptions<Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.SocketTransportOptions>[]
7a5ac0d5ca08       1          24 Microsoft.Extensions.Options.IPostConfigureOptions<Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.SocketTransportOptions>[]
7a5ac0d5cac8       1          24 Microsoft.Extensions.Options.IValidateOptions<Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.SocketTransportOptions>[]
7a5ac0d5c2e8       1          24 Microsoft.Extensions.Logging.Logger<Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer>
7a5ac0d5c3b8       1          24 Microsoft.Extensions.Logging.Logger<Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware>
7a5ac0ddb058       1          24 System.Collections.Generic.GenericComparer<System.Double>
7a5ac0df4d78       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServerOptions+<>c
7a5ac0df5318       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.Http3Limits
7a5ac0df6348       1          24 Microsoft.Extensions.Logging.Logger<Microsoft.AspNetCore.Server.Kestrel.Core.Internal.CertificatePathWatcher>
7a5ac0df65b8       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.CertificatePathWatcher+<>c
7a5ac0df87b0       1          24 System.Action[]
7a5ac0df8bf0       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Infrastructure.ResourceCounter+UnlimitedCounter
7a5ac0dfbac8       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Infrastructure.DebuggerWrapper
7a5ac0dfc138       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Infrastructure.Heartbeat+<>c
7a5ac0dfc378       1          24 System.IO.Pipelines.ThreadPoolScheduler
7a5ac0dfc260       1          24 System.IO.Pipelines.InlineScheduler
7a5ac0df2d78       1          24 Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpParser<Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.Http1ParsingHandler>
7a5ac0e01700       1          24 Microsoft.AspNetCore.Http.DebuggerWrapper
7a5ac0e018e8       1          24 Microsoft.Extensions.Logging.Logger<Program>
7a5ac0e044c0       1          24 Microsoft.EntityFrameworkCore.Internal.TypeFullNameComparer
7a5ac0e0d590       1          24 System.Collections.Generic.ObjectComparer<System.Type>
7a5ac0e0dab0       1          24 System.Collections.Generic.GenericEqualityComparer<System.ValueTuple<Microsoft.EntityFrameworkCore.Infrastructure.IDbContextOptionsExtension, System.Int32>>
7a5ac0e10218       1          24 System.Collections.Generic.KeyValuePair<System.Type, System.ValueTuple<Microsoft.EntityFrameworkCore.Infrastructure.IDbContextOptionsExtension, System.Int32>>[]
7a5ac0e08640       1          24 Microsoft.EntityFrameworkCore.DbContextOptions+<>c
7a5ac0e1dac8       1          24 System.GenericEmptyEnumerator<System.Collections.Generic.KeyValuePair<System.Type, Microsoft.EntityFrameworkCore.Infrastructure.IDbContextOptionsExtension>>
7a5ac0dda148       1          24 System.Collections.Generic.GenericComparer<System.Int32>
7a5ac0e22d10       1          24 System.Collections.Generic.GenericEqualityComparer<System.ValueTuple<System.Nullable<Microsoft.EntityFrameworkCore.WarningBehavior>, System.Nullable<Microsoft.Extensions.Logging.LogLevel>>>
7a5ac0e4fc50       1          24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.EntityFrameworkCore.Infrastructure.IDbContextOptionsExtension>
7a5ac11900f8       1          24 Microsoft.EntityFrameworkCore.Internal.ServiceProviderCache
7a5ac1193450       1          24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.EntityFrameworkCore.Infrastructure.IDbContextOptions>
7a5ac11938d0       1          24 Microsoft.EntityFrameworkCore.Internal.ServiceProviderCache+<>c
7a5ac11b0000       1          24 System.Collections.Immutable.ImmutableSortedDictionary<System.Type, System.ValueTuple<Microsoft.EntityFrameworkCore.Infrastructure.IDbContextOptionsExtension, System.Int32>>+Node+<>c
7a5ac11d0118       1          24 System.Linq.Enumerable+EnumerableSorter<System.ValueTuple<Microsoft.EntityFrameworkCore.Infrastructure.IDbContextOptionsExtension, System.Int32>>+<>c
7a5ac11d7b20       1          24 System.Collections.Generic.ObjectComparer<System.Collections.Generic.Dictionary<System.String, System.String>+KeyCollection>
7a5ac11df580       1          24 System.Linq.Enumerable+EnumerableSorter<System.Collections.Generic.KeyValuePair<System.String, System.String>>+<>c
7a5ac1267b00       1          24 Microsoft.Extensions.DependencyInjection.SqliteServiceCollectionExtensions+<>c
7a5ac13430f8       1          24 Microsoft.EntityFrameworkCore.Infrastructure.EntityFrameworkRelationalServicesBuilder+<>c
7a5ac13772f0       1          24 Microsoft.EntityFrameworkCore.Infrastructure.EntityFrameworkServicesBuilder+<>c
7a5ac1389eb0       1          24 Microsoft.EntityFrameworkCore.Internal.RegisteredServices
7a5ac571bba0       1          24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.Extensions.Caching.Memory.CacheEntry>
7a5ac13a3078       1          24 Microsoft.EntityFrameworkCore.Diagnostics.Internal.CoreResources+<>c
7a5ac13a9ae8       1          24 System.Resources.FastResourceComparer
7a5ac1375df0       1          24 Microsoft.EntityFrameworkCore.Infrastructure.Internal.DbSetFinder
7a5ac1376200       1          24 Microsoft.EntityFrameworkCore.Internal.DbSetSource
7a5ac13b2478       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetterFactory
7a5ac13b27e8       1          24 Microsoft.EntityFrameworkCore.Infrastructure.Internal.DbSetFinder+<>c
7a5ac13b3e30       1          24 System.Collections.Generic.GenericComparer<System.String>
7a5ac1566fe0       1          24 System.Buffers.SharedArrayPool<System.Reflection.PropertyInfo>+<>c
7a5ac1567d38       1          24 System.Linq.Enumerable+EnumerableSorter<System.Reflection.PropertyInfo>+<>c
7a5ac15a0128       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Linq.Expressions.ParameterExpression>
7a5ac15a0e50       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.AccountingDocument>>
7a5ac15a7140       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Linq.Expressions.LambdaExpression>
7a5ac15a7360       1          24 System.Linq.Expressions.Compiler.CompilerScope[]
7a5ac15a7558       1          24 System.Linq.Expressions.Compiler.BoundConstants[]
7a5ac15b0098       1          24 System.Collections.Generic.ReferenceEqualityComparer
7a5ac15b3a88       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Linq.Expressions.LabelTarget>
7a5ac15b5a00       1          24 System.Reflection.Emit.RuntimeMethodBuilder[]
7a5ac15be478       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.AdminActivity>>
7a5ac15bed88       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.BankAccountBalanceHistory>>
7a5ac15bf698       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.BankAccountBalance>>
7a5ac15c0018       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.BankAccount>>
7a5ac44e9700       1          24 Microsoft.EntityFrameworkCore.EntityFrameworkQueryableExtensions+<>c
7a5ac15c0928       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.Currency>>
7a5ac15c1238       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.CurrencyPoolHistory>>
7a5ac15c1b48       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.CurrencyPool>>
7a5ac15c2458       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.CustomerBalanceHistory>>
7a5ac15c4050       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.CustomerBalance>>
7a5ac15c4960       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.Customer>>
7a5ac15c5270       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.ExchangeRate>>
7a5ac15c5b80       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.Notification>>
7a5ac15c6490       1          24 Microsoft.EntityFrameworkCore.Metadata.Internal.ClrPropertySetter<ForexExchange.Models.ForexDbContext, Microsoft.EntityFrameworkCore.DbSet<ForexExchange.Models.Order>>
